station_id,station_type,timestamp,hour,temp,humidity,weather,is_weekend,ride_out,ride_in
1,地铁站,2018-01-01 00:00:00,0,-2,67,1,1,4,3
2,商业区,2018-01-01 00:00:00,0,-2,67,1,1,4,4
3,居住区,2018-01-01 00:00:00,0,-2,67,1,1,4,3
4,交通枢纽,2018-01-01 00:00:00,0,-2,67,1,1,8,8
5,校园,2018-01-01 00:00:00,0,-2,67,1,1,5,5
6,地铁站,2018-01-01 00:00:00,0,-2,67,1,1,3,2
7,商业区,2018-01-01 00:00:00,0,-2,67,1,1,4,2
8,居住区,2018-01-01 00:00:00,0,-2,67,1,1,3,2
9,交通枢纽,2018-01-01 00:00:00,0,-2,67,1,1,4,4
10,校园,2018-01-01 00:00:00,0,-2,67,1,1,5,3
11,地铁站,2018-01-01 00:00:00,0,-2,67,1,1,4,3
12,商业区,2018-01-01 00:00:00,0,-2,67,1,1,4,3
13,居住区,2018-01-01 00:00:00,0,-2,67,1,1,4,4
14,交通枢纽,2018-01-01 00:00:00,0,-2,67,1,1,4,4
15,校园,2018-01-01 00:00:00,0,-2,67,1,1,5,4
16,地铁站,2018-01-01 00:00:00,0,-2,67,1,1,3,3
17,商业区,2018-01-01 00:00:00,0,-2,67,1,1,4,3
18,居住区,2018-01-01 00:00:00,0,-2,67,1,1,5,4
19,交通枢纽,2018-01-01 00:00:00,0,-2,67,1,1,6,4
20,校园,2018-01-01 00:00:00,0,-2,67,1,1,4,4
21,地铁站,2018-01-01 00:00:00,0,-2,67,1,1,4,4
22,商业区,2018-01-01 00:00:00,0,-2,67,1,1,4,3
23,居住区,2018-01-01 00:00:00,0,-2,67,1,1,3,2
24,交通枢纽,2018-01-01 00:00:00,0,-2,67,1,1,5,5
25,校园,2018-01-01 00:00:00,0,-2,67,1,1,6,4
26,地铁站,2018-01-01 00:00:00,0,-2,67,1,1,3,2
27,商业区,2018-01-01 00:00:00,0,-2,67,1,1,3,3
28,居住区,2018-01-01 00:00:00,0,-2,67,1,1,5,5
29,交通枢纽,2018-01-01 00:00:00,0,-2,67,1,1,5,4
30,校园,2018-01-01 00:00:00,0,-2,67,1,1,6,6
31,地铁站,2018-01-01 00:00:00,0,-2,67,1,1,3,2
32,商业区,2018-01-01 00:00:00,0,-2,67,1,1,3,2
33,居住区,2018-01-01 00:00:00,0,-2,67,1,1,5,6
34,交通枢纽,2018-01-01 00:00:00,0,-2,67,1,1,6,6
35,校园,2018-01-01 00:00:00,0,-2,67,1,1,6,5
36,地铁站,2018-01-01 00:00:00,0,-2,67,1,1,3,3
37,商业区,2018-01-01 00:00:00,0,-2,67,1,1,4,4
38,居住区,2018-01-01 00:00:00,0,-2,67,1,1,2,2
39,交通枢纽,2018-01-01 00:00:00,0,-2,67,1,1,6,5
40,校园,2018-01-01 00:00:00,0,-2,67,1,1,6,4
41,地铁站,2018-01-01 00:00:00,0,-2,67,1,1,3,3
42,商业区,2018-01-01 00:00:00,0,-2,67,1,1,5,4
