timestamp,temp,humidity,windspeed,weather,hour,is_weekend,is_holiday,count
2018-01-01 00:00,-2,67,12,1,0,1,1,31
2018-01-01 01:00,-3,71,14,1,1,1,1,22
2018-01-01 02:00,-3,73,11,1,2,1,1,18
2018-01-01 03:00,-4,75,13,1,3,1,1,14
2018-01-01 04:00,-4,76,10,1,4,1,1,12
2018-01-01 05:00,-3,72,9,1,5,1,1,16
2018-01-01 06:00,-2,68,8,1,6,1,1,45
2018-01-01 07:00,-1,62,7,1,7,1,1,143
2018-01-01 08:00,0,58,6,1,8,1,1,278
2018-01-01 09:00,1,55,5,1,9,1,1,352
2018-01-01 10:00,2,52,4,1,10,1,1,398
2018-01-01 11:00,3,50,5,1,11,1,1,421
2018-01-01 12:00,4,48,6,1,12,1,1,405
2018-01-01 13:00,5,45,7,1,13,1,1,432
2018-01-01 14:00,6,43,8,1,14,1,1,445
2018-01-01 15:00,5,46,9,1,15,1,1,410
2018-01-01 16:00,4,50,10,1,16,1,1,356
2018-01-01 17:00,3,55,12,1,17,1,1,289
2018-01-01 18:00,2,60,13,1,18,1,1,234
2018-01-01 19:00,1,64,14,1,19,1,1,198
2018-01-01 20:00,0,68,15,1,20,1,1,156
2018-01-01 21:00,-1,70,13,1,21,1,1,112
2018-01-01 22:00,-1,71,12,1,22,1,1,78
2018-01-01 23:00,-2,72,11,1,23,1,1,52
2018-01-02 00:00,-2,70,10,1,0,0,0,28
2018-01-02 01:00,-3,74,12,1,1,0,0,19
2018-01-02 02:00,-3,76,11,1,2,0,0,15
2018-01-02 03:00,-4,78,13,1,3,0,0,11
2018-01-02 04:00,-4,79,10,1,4,0,0,10
2018-01-02 05:00,-3,75,9,1,5,0,0,13
2018-01-02 06:00,-2,71,8,1,6,0,0,38
2018-01-02 07:00,-1,65,7,1,7,0,0,128
2018-01-02 08:00,0,61,6,1,8,0,0,245
2018-01-02 09:00,1,58,5,1,9,0,0,312
2018-01-02 10:00,2,54,4,1,10,0,0,356
2018-01-02 11:00,3,51,5,1,11,0,0,389
2018-01-02 12:00,4,47,6,1,12,0,0,375
2018-01-02 13:00,5,44,7,1,13,0,0,401
2018-01-02 14:00,6,42,8,1,14,0,0,418
2018-01-02 15:00,5,45,9,1,15,0,0,388
2018-01-02 16:00,4,49,10,1,16,0,0,338
2018-01-02 17:00,3,53,11,1,17,0,0,265
2018-01-02 18:00,2,58,12,1,18,0,0,218
2018-01-02 19:00,1,62,13,1,19,0,0,184
2018-01-02 20:00,0,66,14,1,20,0,0,142
2018-01-02 21:00,-1,68,13,1,21,0,0,105
2018-01-02 22:00,-1,69,12,1,22,0,0,72
2018-01-02 23:00,-2,70,11,1,23,0,0,48
2018-01-05 00:00,-5,65,8,1,0,1,0,25
2018-01-05 01:00,-6,68,10,1,1,1,0,18
2018-01-05 02:00,-6,70,9,1,2,1,0,14
2018-01-05 03:00,-7,72,11,1,3,1,0,10
2018-01-05 04:00,-7,73,10,1,4,1,0,9
2018-01-05 05:00,-6,70,8,1,5,1,0,12
2018-01-05 06:00,-5,66,7,1,6,1,0,35
2018-01-05 07:00,-4,60,6,1,7,1,0,118
2018-01-05 08:00,-3,56,5,1,8,1,0,225
2018-01-05 09:00,-2,52,4,1,9,1,0,298
2018-01-05 10:00,-1,48,3,1,10,1,0,345
2018-01-05 11:00,0,45,4,1,11,1,0,378
2018-01-05 12:00,1,42,5,1,12,1,0,365
2018-01-05 13:00,2,40,6,1,13,1,0,395
2018-01-05 14:00,3,38,7,1,14,1,0,412
2018-01-05 15:00,2,41,8,1,15,1,0,382
2018-01-05 16:00,1,45,9,1,16,1,0,332
2018-01-05 17:00,0,49,10,1,17,1,0,258
2018-01-05 18:00,-1,54,11,1,18,1,0,208
2018-01-05 19:00,-2,58,12,1,19,1,0,175
2018-01-05 20:00,-3,62,13,1,20,1,0,132
2018-01-05 21:00,-4,64,12,1,21,1,0,98
2018-01-05 22:00,-4,65,11,1,22,1,0,65
2018-01-05 23:00,-5,66,10,1,23,1,0,42
